Date,Time,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
3/17/2000,9:30,Aeroperlas,,Panama City - Puerto Obaldia,de Havilland Canada DHC-6 Twin Otter 300,HP-1267APP,624,10,8,2,10,8,2,0,"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time.","Kuna Yala, Panama",9.4708308,-78.9600918,POINT (9.4708308 -78.9600918)
3/17/2000,12:31,Points North Air Services,,"Points North Landing, SK - Ennadai Lake",Douglas C-47A-5-DK,C-FNTF,12344,2,0,2,2,0,2,0,"After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air.","Ennadai Lake, Canada",60.977007,-101.1852323,POINT (60.97700699999999 -101.185232345345)
3/22/2000,17:45,Military - Ejército del Aire,,Sevilla - Herreira,CASA 212-DE Aviocar 200,TM-12D-73,314,7,0,7,7,0,7,0,Crashed while attempting to land in poor weather.,"Herreira, Spain",45.70301,-97.78594,POINT (45.70301 -97.78594)
3/24/2000,18:04,Sky Cabs,,Bangkok - Colombo,Antonov AN-12 (freighter),RA-11302,8346004,8,0,8,6,0,6,2,"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.","Kadirana, Sri Lanka",6.9782078,79.8746542,POINT (6.9782078 79.87465419999999)
3/25/2000,,Uralex,,Huambo - Luanda,Antonov AN-32,D2-MAJ,ZZX3201,33,29,4,3,3,0,0,"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff. Brake failure as the pilot attempted to avoid a hole in the runway.","Huambo, Angola",-12.6076318,15.7411039,POINT (-12.6076318 15.7411039)
3/30/2000,,Military - Sri Lankan Air Force,,Jaffna/Palaly AFB - Anuradhapura AFB,Antonov An-26,UR-79170,13410,40,36,4,40,36,4,0,The crew reported engine trouble 10 minutes before it crashed while en route. Members of the Liberation Tigers confessed to firing missiles at the plane.,"Anuradhapura, Sri Lanka",8.334985,80.4106096,POINT (8.334985000000001 80.41060959999999)
4/5/2000,9:30,Bankair,,Opa-Locka - Marianna,Learjet 35A,N86BE,35-194,3,0,3,3,0,3,0,"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway.","Marianna, Florida",30.7743596,-85.2268735,POINT (30.7743596 -85.2268735)
4/19/2000,,Military - Centrafricain Airlines,,"Pepa, Congo - Kigali, Rwanda",Antonov AN-8,TL-ACM,9340706,24,20,4,24,20,4,0,"The military flight crashed after losing its engines after striking birds,unable to return to land.","Pepa ,Congo",-7.69811,29.7772,POINT (-7.698110000000002 29.7772)
4/19/2000,7:02,Air Philippines,541,Manila - Davao,Boeing B-737-2H4,RP-C3010, 21447/508,131,124,7,131,124,7,0,"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.","Samal Island, Philippines",7.0477764,125.7441551,POINT (7.047776400000001 125.7441551)
4/29/2000,,North Coast Aviation,,,Britten-Norman BN-2A-20 Islander,P2-ISA,703,4,1,3,4,1,3,0,"While taking off the plane struck trees at the end of the runway, crashed and burned.","Bapi, Papua New Guinea",-3.4101088,141.2633443,POINT (-3.4101088 141.2633443)
5/2/2000,14:39,Northern Executive Aviation,4B,,Learjet 35A,G-MURI,35-646,5,3,2,2,0,2,0,"During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine.","Lyon Satolas, France",45.7245365,5.086500756,POINT (45.7245365 5.086500755554241)
5/3/2000,,Trans Guyana Airways,,,Britten-Norman BN-2A-9 Islander,8R-GAC,694,1,0,1,1,0,1,0,The cargo plane crashed into a cloud covered mountain.,"Kurupung, Guyana",5.121996,-58.912352,POINT (5.121996 -58.912352)
5/10/2000,20:30,Price Aircraft Company,,Kahului - Hoolehua,Rockwell Sabreliner 65,N241H,465-5,6,4,2,6,4,2,0,While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach.,"Kaunakakai, Hawaii",21.0906562,-157.0208344,POINT (21.0906562 -157.0208344)
5/17/2000,9:47,Avirex,,Libreville - Moanda,Beechcraft 1900C-1,TR-LFK,UC-133,10,8,2,3,2,1,0,The charter flight crashed while on approach in fog and mist.,"Moanda, Gabon",-1.554004,13.220574,POINT (-1.554004 13.220574)
5/21/2000,11:28,Executive Airlines,Charter,Atlantic City - Wilkes-Barre,BAe Jetstream 3101-31,N16EJ,834,19,17,2,19,17,2,0,"The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage.","Wilkes-Barre, Pennsylvania",41.2464824,-75.8817316,POINT (41.2464824 -75.88173159999999)
5/25/2000,,Philippine Air Lines,812,Davao - Manila,Airbus A.330-301,F-OHZN,,298,284,14,1,1,0,0,"A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump.","Manila, Philippines",14.5906216,120.9799696,POINT (14.5906216 120.9799696)
5/31/2000,19:05,Whyalla Airlines,904,Adelaide - Whyalla,Piper PA-31-350 Navajo,VH-MZK,31-8152180,8,1,7,8,1,7,0,"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine.","Whyalla, Australia",-33.04552225,137.4292617,POINT (-33.04552225 137.429261711244)
6/5/2000,11:35,Ghana Airlink,200,Tamale - Accra,Fokker F-27 Friendship 600,G-524,10535,52,48,4,7,7,0,0,"The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm.","Accra, Ghana",5.5600141,-0.2057437,POINT (5.560014099999999 -0.2057437)
6/22/2000,1:16,Wuhan Airlines,343,Enshi - Wuhan,Xian Yunshuji Y-7-100C,B-3479,6708,44,40,4,44,40,4,7,"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.","Shitai, China",30.2131783,117.4760338,POINT (30.2131783 117.4760338)
6/23/2000,11:41,Universal Jet Aviation,,Boca Raton - Fort Pierce,Learjet 55,N220JC,55-050,3,1,2,3,1,2,0,Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.,"Boca Raton, Florida",26.3586885,-80.0830984,POINT (26.3586885 -80.08309840000003)
6/27/2000,,Military - Japanese Air Self-Defence Force,,Training,Kawasaki C-1A,88-1027,8027,5,0,5,5,0,5,0,Crashed into the sea during a test flight.,"Shimano, Japan",34.55947825,135.4654903,POINT (34.55947825 135.465490301481)
7/2/2000,10:50,Military - Philippine Air Force,,Cagayancillo - Puerto Princesa,GAF Nomad N-22C,N286,86,15,11,4,14,10,4,0,"Engine problems forced the pilot to return to the airport. However, he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid, chief of the southwestern military command, killed.","Cagayancillo, Philippines",9.68441895,121.191261,POINT (9.68441895 121.191261036286)
7/8/2000,19:50,Aerocaribe,7831,Tuxtla Gutierrez - Villahermosa,British Aerospace  BAe Jetstream 32EP,N912FJ,912,19,17,2,19,17,2,0,"The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR, deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground.","Villahermosa, Mexico",18.0018152,-92.93304015,POINT (18.0018152 -92.93304014837507)
7/9/2000,8:37,CORAL Colombia,,Villavicencio - Mitu,Curtiss C-46A-60-CS,HK-851P,383,19,15,4,13,9,4,0,"The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio.","Villavicencio, Colombia",4.1315113,-73.6206667,POINT (4.1315113 -73.6206667)
7/13/2000,0:34,Win Win Aviation,,"Hinckley, IL - Louisburg, NC",de Havilland Canada DHC-6 Twin Otter 200,N201RH,163,3,2,1,1,0,1,0,"The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight.","Raleigh, North Carolina",35.7803977,-78.6390989,POINT (35.7803977 -78.63909890000002)
7/17/2000,7:34,Indian Airlines/Alliance Airlines,7412,Calcutta - Patna - Lucknow - New Delhi,Boeing B-737-2A8 Advanced,VT-EGD,22280/671,58,52,6,55,49,6,5,"While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.","Patna, India",25.6093239,85.1235252,POINT (25.6093239 85.1235252)
7/19/2000,0:30,Airwave Transport,9807,Moncton - Montreal,Grumman G-159 Gulfstream I,C-GNAK,154,2,0,2,2,0,2,0,"After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.","Linneus, Maine",46.038923,-67.960052,POINT (46.038923 -67.960052)
7/20/2000,13:12,Allied Air Freight,,Nassau - Freeport,Douglas C-47A-10-DK,N54AA,12475,2,0,2,2,0,2,0,The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.,"Nassau, Bahamas",25.0783456,-77.3383331,POINT (25.0783456 -77.33833309999999)
7/21/2000,10:20,Blue Hawaiian Helicopters,,Sight seeing,Aerospatiale AS355-F1,N510TG,5168,7,6,1,7,6,1,0,"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather.","Maui, Hawaii",20.8029568,-156.3106833,POINT (20.8029568 -156.310683316022)
7/25/2000,16:44,Air France,4590,Paris - New York City,Aerospatiale BAe Concorde 101,F-BTSC,203,109,100,9,109,100,9,4,"The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history. The French government convicted Continental and a Continental mechanic of a crime but an appeals court reversed the decision.","Gonesse, France",48.9863555,2.4500537,POINT (48.9863555 2.4500537)
7/26/2000,6:00,Military - Royal Jordanian Air Force,,,Lockheed C-130H Hercules,348,4073,13,,,13,,,0,Crashed on a training flight.,"Mafraq, Jordan",32.5363788,38.13152652,POINT (32.5363788 38.131526523126)
7/27/2000,10:31,Royal Nepal Airlines,,Bajhang - Dhangadhi,de Havilland Canada DHC-6 Twin Otter 300,9N-ABP,654,25,22,3,25,22,3,0,"The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog.","Jatra, Nepal",27.7136089,85.3102021,POINT (27.7136089 85.3102021)
8/2/2000,8:45,Air taxi - Lider Air Taxi,,Cubatao - Navegantes,Sikorsky S-76,PT-HRD,,6,5,1,6,5,1,0,"The helicopter exploded and crashed from a height of 1,000 ft.","Cubatao, Brazil",-23.8857982,-46.4241869,POINT (-23.8857982 -46.4241869)
8/6/2000,15:55,Military - Fuerza Aérea de Chile,-,Santiago - Coihaique,Casa 212-AB10 Aviocar,230,AB10-454,14,10,4,14,10,4,0,The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.,"Puerto Montt, Chile",-41.4718121,-72.939621,POINT (-41.4718121 -72.939621)
8/9/2000,8:00,Patuxent Airways / Private,,"Lakehurst, NY - Patuxent River, MD",Piper Navajo PA-31/ Piper Seminole PA-44,N27944 / N2225G,7952056/79951271,11,8,3,11,8,3,0,"The two aircraft collided over a central New Jersey subdivision, scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules.","Burlington Township, New Jersey",40.072587,-74.88700756,POINT (40.072587 -74.8870075583862)
8/12/2000,,Staer Air,,Kinshasa - Tshikapa,Antonov AN-26B,9Q-CJI,6004,27,21,6,27,21,6,0,The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.,"Tshikapa, Congo",-6.41621,20.79995,POINT (-6.41621 20.79995)
8/23/2000,19:30,Gulf Air,72,Cairo - Manama,Airbus A320-212,A4O-EK,481,143,135,8,143,135,8,0,"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a ""spatial disorientation"" to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude.","Manama, Bahrain",26.2235041,50.5822436,POINT (26.2235041 50.5822436)
9/2/2000,,Military - Fuerza Aérea Colombiana,,,Douglas C-47,FAC1659,32984,7,0,7,7,0,7,0,Flew into Mt. Montezuma.,"Mount Montezuma, Colombia",8.6214646,-75.9167084,POINT (8.621464599999999 -75.9167084)
9/4/2000,15:10,Charter - Central Air,,Perth - ?,Beechcraft SKA 200,VH-SKC,BB-47,8,7,1,8,7,1,0,"Shortly after departing Perth and after the aircraft had climbed through its assigned altitude, the pilot’s speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions over the next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking off from Perth, the aircraft impacted the ground 65 km ESE of Burketown, Queensland, and was destroyed. Incapacitation of the pilot and passengers a result of hypobaric hypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised, or why the pilot and passengers did not receive supplemental oxygen.","Burketown, Australia",-17.7400597,139.5465396,POINT (-17.7400597 139.5465396)
9/16/2000,9:25,Military - Sri Lanka Air Force,,Colombo - Kalmunai,Mil Mi-17,,,14,12,2,14,12,2,0,"The Air Force helicopter was on a domestic flight when it cashed into mountainous terrain 75 km from Colombo. The helicopter’s pilot had contacted air traffic controllers saying he had problems with visibility and was lowering his altitude. Sri Lanka, Muslim Congress leader M. H. M. Ashraff, 52, along with members of his entourage were killed.","Kumarapura, Sri Lanka",7.622919,80.68822,POINT (7.622919 80.68822)
10/6/2000,16:55,Aeromexico,250,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,N936ML,47501/571,88,83,5,0,0,0,4,"The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.","Reynosa, Mexico",26.0704018,-98.2963932,POINT (26.07040180000001 -98.2963932)
10/8/2000,15:20,Summit Air Charters,,Kuglluktuk - Yellowknife,Shorts SC.7 Skyvan 3-100,C-FSDZ,SH-1953,3,1,2,3,1,2,0,"The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight, the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons, the pilot descended below the elevation of the terrain surrounding the airstrip, resulting in a controlled-flight-into-terrain accident.","Port Radium, Northwest Territories, Canada",66.0850119,-118.0359938,POINT (66.0850119 -118.0359938)
10/10/2000,14:52,Bombardier Aerospace,,Test flight,Canadair CL-600-2B16 Challenger 604,C-FTBZ,5991,3,0,3,2,0,2,0,"The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration.","Wichita, Kansas",37.6922361,-97.3375448,POINT (37.6922361 -97.3375448)
10/16/2000,17:33,Private,,St. Louis - New Madrid,Cessna 335,N8354N,335-0064,3,2,1,3,2,1,0,"The twin engine Cessna crashed into a densely wooded area, 30 miles south of St. Louis, 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6,500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan, 66, Governor of Missouri was killed in the accident along with a campaign aide and his son, Roger, who was piloting the plane.","Hillsboro, Missouri",38.2322766,-90.5629034,POINT (38.2322766 -90.56290340000001)
10/19/2000,12:12,Lao Aviation,703,Vientiane - Sam Neua,Harbin Yunshuji Y-12-II,RDPL-34130,86,17,15,2,8,8,0,0,"The aircraft crashed into a mountain at 4,800 ft., in poor weather, while making an apporach to Sam Neua.","Sam Neua, Laos",20.4151514,104.047364,POINT (20.4151514 104.047364)
10/25/2000,18:15,Military - Russian Air Force,,Moscow - Batumi,Ilyushin IL-18D,RA-74295,187010602,86,75,11,86,75,11,0,"Communications were lost with the aircraft as it approached Mt. Tirina at 4,250 feet, preparing to land at Batumi. The aircraft was seen rapidly descending into mountainous terrain. A large explosion followed as the plane crashed somewhere between the towns of  Batumi and Kabuleti in heavy rain. Navigation error made by the crew in the final stage of the landing approach. Error by the Batumi ATC who failed to locate the plane and conform it to the crew. Erroneous data shown by ground radio-technical facilities at Batumi airport.","Batumi, Republic of Georgia",41.6509502,41.6360085,POINT (41.6509502 41.6360085)
10/31/2000,11:27,Aca-Ancargo,,Saurimo - Luanda,Antonov AN-26,D2-FDI,27312009,44,39,5,44,39,5,0,The aircraft exploded in midair 20 minutes after taking off from Saurimo. UNITA rebels claimed they shot down the plane.,"Monaquimbundo, Angola",-37.804678,-72.702036,POINT (-37.804678 -72.70203599999998)
